approval_id,sandbox_table,provider_id,botanical_name,common_name,species_id,approval_status,target_action,attribute_name,attribute_value,evidence_confidence,source_url,supplier_status,product_url,mowability_score,reviewer,review_date,review_notes,candidate_status,vancouver_eligibility_status,product_category,candidate_reason,sandbox_review_status,sandbox_notes
PA-DRAFT-0006,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,provider observation type,product_title,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0007,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,description,"Pollinator-friendly, late- and long-flowering perennial wildflower with small white aromatic flowers in heads. Yarrow is mostly sun-loving, but can tolerate some shade, some trampling, and is deer-resistant. The fern-like foliage is partially evergreen so you can enjoy this plant through winter. Yarrow leaves stay soft and green through the winter making it an excellent lawn replacement that can tolerate seasonal mowing but can be vigorous in good garden soil. The rhizomes and roots hold soil making it useful for slopes. It is prized as a cut flower and for its many herbal, edible, and medicinal applications.",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0008,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details habitat,"Meadows, rocky slopes, and beaches",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0009,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details light,Full sun to part shade,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0010,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details moisture,Dry to mesic,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0011,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details height,30 – 80 cm,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0012,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details flowering,May to September,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0013,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details habit,Rhizomatous perennial forb,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0014,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details feature,"Deer-resistant, drought-tolerant, edible, fragrant, partially evergreen, pollinator-friendly, salt-tolerant, winter interest",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0015,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,plant details companion plants,"Woolly Sunflower , Field Chickweed , Wild Strawberry , Roemer's Fescue , Great Camas , Common Camas , Nodding Onion , Self-heal , Sea Blush , California Brome , Blue Wildrye , Fool's Onion",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0016,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details seeds packet,375,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0017,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details packet coverage,1 m2,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0018,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details seeds gram,3125,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0019,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details seeds square meter,363,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0020,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details square meters gram,8.6,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0021,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details cost gram,$3.00 (when purchased in bulk; min $25),Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0022,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details sowing time,Sow in fall or early spring for germination in the same season.,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0023,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,seed details seeding info,"Seeds have very high viability. Seedlings are fast-growing and have high establishment. This is a great species to try from seed if you are new to seeding or want almost guaranteed success and is a good plant to introduce children to. Yarrow is late-flowering so the seed isn't mature until late summer or into early fall. You can bang the seed heads into a bucket or bag to capture the seed and be prepared to leave them outdoors for many days to observe the insect exodus ! Yarrow can be sown in fall or early spring. When sown in fall, expect ample germination with fall rains, but sometimes also another round of germination into spring. Slugs can be a nuisance with new germinants, but the seed viability is so high with this species that some success is almost always found. These can be started in partial shade or full sun, but if spring sown maintain consistent moisture through their germination and establishment. If started in partial shade, move to full sun as they may become light-deprived. Once they start growing, they're quick to mature and will flower in their first year.",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0024,candidate_species.csv,PROV-SATIN,Acmispon americanus,Spanish-clover,,approved,add_species,,,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Draft species-level decision; export from the static app after expert review.,,,,,,
PA-DRAFT-0025,supplier_availability.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,,,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,available,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Draft supplier row; approve only with the species decision.,,,,,,
PA-DRAFT-0026,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,product title,Acmispon americanus (Spanish-clover),Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0027,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,product type,plant,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0028,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,tags,"BLOOMTIME_Apr-Jun, BLOOMTIME_Jul-Sep, FEATURE_attracts pollinators, FEATURE_nitrogen-fixer, FORM_forb, HABIT_annual, HABITAT_meadow, HEIGHT_up to 0.5 m, LIGHT_sun, SOIL_mesic, SOIL_wet winter & dry summer",Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0029,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,provider observation type,product_title,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0030,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,description,"A delicate, low-lying annual forb, it is locally confined to clay soils in the Victoria area. In good conditions, plants will sprawl and form a summer groundcover. It is a possible host plant for the Grey Hairstreak butterfly.",Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0031,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details habitat,Meadows,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0032,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details light,Full sun,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0033,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details moisture,Mesic to seasonally wet,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0034,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details height,15 - 40 cm,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0035,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details flowering,June to August,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0036,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details habit,Annual forb,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0037,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details feature,"Groundcover, nitrogen-fixer, pollinator-friendly",Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0038,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,plant details companion plants,"California Oatgrass , Slimleaf Onion , Fool's Onion , Common Camas , Straight-beaked Buttercup , Few-flowered Shootingstar",Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0039,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details seeds packet,150,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0040,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details seeds gram,247,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0041,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details seeds square meter,600,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0042,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details square meters gram,0.4,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0043,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details cost gram,$7.00 (when purchased in bulk; min $25),Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0044,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details sowing time,Sow in fall or early spring for germination in the same season.,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0045,candidate_attributes.csv,PROV-SATIN,Acmispon americanus,,,approved,add_species,seed details seeding info,Scarify prior to sowing,Pending review,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,https://satinflower.ca/products/acmispon-americanus-spanish-clover,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0046,candidate_species.csv,PROV-SATIN,Alaska oniongrass,Melica subulata,,approved,add_species,,,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Draft species-level decision; export from the static app after expert review.,,,,,,
PA-DRAFT-0047,supplier_availability.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,,,Pending review,https://satinflower.ca/products/melica-subulata,available,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Draft supplier row; approve only with the species decision.,,,,,,
PA-DRAFT-0048,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,product title,Melica subulata (Alaska Oniongrass),Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0049,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,product type,plant,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0050,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,tags,"BLOOMTIME_Apr-Jun, FEATURE_attracts birds, FEATURE_deer-resistant, FEATURE_drought-tolerant, FEATURE_partially evergreen, FORM_grass, HABIT_perennial, HABITAT_forest, HABITAT_woodland, HEIGHT_0.5 - 2 m, HEIGHT_up to 0.5 m, LIGHT_part shade, LIGHT_shade, SEED SOWING TIME_fall, SOIL_dry, SOIL_mesic",Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0051,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,provider observation type,product_title,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0052,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,description,Characteristic grass of dry woodlands across southern Vancouver Island. This species dies back to a bulb-like structure in summer and comes up in spring with deep green leaves and purple-green striated flowers.,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0053,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details habitat,Forests and woodlands,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0054,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details light,Part shade to shade,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0055,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details moisture,Dry to mesic,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0056,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details height,30 - 80 cm,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0057,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details flowering,April to June,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0058,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details habit,Perennial grass,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0059,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details feature,"Deer-resistant, drought-tolerant",Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0060,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,plant details companion plants,"Pacific Sanicle , Columbia Brome , White Fawn Lily , Broad-leaved Shootingstar",Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0061,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details seeds packet,~248,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0062,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details seeds gram,~400,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0063,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details seeds square meter,600,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0064,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details square meters gram,0.7,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0065,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details cost gram,$2.00 (when purchased in bulk ; min $25 ),Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0066,candidate_attributes.csv,PROV-SATIN,Alaska oniongrass,,,approved,add_species,seed details sowing time,Sow in fall for spring germination. Cold stratification required.,Pending review,https://satinflower.ca/products/melica-subulata,,https://satinflower.ca/products/melica-subulata,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0067,candidate_species.csv,PROV-SATIN,American winter cress,Barbarea orthoceras,,approved,add_species,,,Pending review,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,expert reviewer,2026-07-05,Taxonomy review recommended before approval.,,,,,,
PA-DRAFT-0068,supplier_availability.csv,PROV-SATIN,American winter cress,,,approved,add_species,,,Pending review,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,available,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,expert reviewer,2026-07-05,Taxonomy review recommended before approval.,,,,,,
PA-DRAFT-0069,candidate_attributes.csv,PROV-SATIN,American winter cress,,,approved,add_species,product title,Barbarea orthoceras (American Winter Cress),Pending review,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,expert reviewer,2026-07-05,Taxonomy review recommended before approval.,,,,,,
PA-DRAFT-0070,candidate_attributes.csv,PROV-SATIN,American winter cress,,,approved,add_species,product type,seed,Pending review,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,,expert reviewer,2026-07-05,Taxonomy review recommended before approval.,,,,,,
