Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat,reviewed_field_count,gap_count,evidence_hardening_status,score_readiness,next_review_action
BCNPPD-0021,CDF-0021,Anaphalis margaritacea,Pearly Everlasting,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0022,CDF-0022,Chamaenerion angustifolium,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0023,CDF-0023,Claytonia sibirica,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0024,CDF-0024,Collinsia grandiflora,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0025,CDF-0025,Cornus sericea,Red Osier Dogwood,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0026,CDF-0026,Erigeron philadelphicus,Philadelphia Fleabane,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0027,CDF-0027,Fragaria chiloensis,Coastal Strawberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0028,CDF-0028,Gaultheria shallon,Salal,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0029,CDF-0029,Geum macrophyllum,Large-leaved Avens,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0030,CDF-0030,Grindelia stricta,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0031,CDF-0031,Holodiscus discolor,Ocean Spray,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0032,CDF-0032,Lathyrus japonicus,Beach Pea,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0033,CDF-0033,Lonicera involucrata,Twinberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0034,CDF-0034,Lupinus bicolor,Lindley's Lupine,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0035,CDF-0035,Malus fusca,Pacific Crab Apple,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0036,CDF-0036,Oemleria cerasiformis,Osoberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0037,CDF-0037,Physocarpus capitatus,Pacific Ninebark,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0038,CDF-0038,Ribes sanguineum,Red-flowering Currant,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0039,CDF-0039,Rosa nutkana,Nootka Rose,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0040,CDF-0040,Rubus parviflorus,Thimbleberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0041,CDF-0041,Rubus spectabilis,Salmonberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0042,CDF-0042,Salix discolor,Pussy Willow,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0043,CDF-0043,Sanicula crassicaulis,Pacific Sanicle,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0044,CDF-0044,Solidago lepida,Canada Goldenrod,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0045,CDF-0045,Symphoricarpos albus,Snowberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0046,CDF-0046,Symphyotrichum subspicatum,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0047,CDF-0047,Vaccinium ovalifolium,Oval-leaved Blueberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0048,CDF-0048,Vaccinium ovatum,Evergreen Huckleberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0049,CDF-0049,Vicia nigricans,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0050,CDF-0050,Fragaria vesca,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0051,CDF-0051,Sisyrinchium idahoense,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0052,CDF-0052,Pteridium aquilinum,,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use.",0,5,needs_identity_native_range_review,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
