source_id,source_name,source_tier,p7_review_status,usable_for,rationale
SRC-0186,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0187,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0188,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0189,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0190,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0191,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0192,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0193,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0194,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0195,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0196,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0197,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0198,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0199,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0200,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0201,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0202,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0203,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0204,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0205,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0206,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0207,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0208,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0209,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0210,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0211,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0212,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0213,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0214,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
