species_id,botanical_name,common_name,family,review_status,psi_readiness,pollinator_queue_reason,evidence_caveat,next_review_action
BCNPPD-0190,Alopecurus aequalis,Short Awn Foxtail,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0438,Amelanchier alnifolia,Wild Saskatoon Serviceberry Tree,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0057,American winter cress,Barbarea orthoceras,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0352,Ammi majus,Bishop's Flower,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0304,Amsinckia menziesii,Common Fiddleneck,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0421,Anaphalis margaritacia,Pearly Everlasting,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0465,Anemone patens,Prairie Crocus,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0393,Aquilegia caerulea,Blue Columbine,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0431,Aralia nudicaulis,Wild Sarsaparilla,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0347,Armeria maritima,Sea Thrift,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0488,Aronia melanocarpa,Black Chokeberry,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0434,Artemisia ludoviciana,Prairie Sage,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0272,Asclepias cordifolia,Heartleaf Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0192,Asclepias eriocarpa,Woolly Pod Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0286,Asclepias fascicularis,Narrowleaf Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0268,Asclepias incarnata,Swamp Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0285,Asclepias latifolia,Broadleaf Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0469,Asclepias ovalifolia,Dwarf Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0348,Asclepias speciosa,Showy Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0271,Asclepias syriaca,Common Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0269,Asclepias tuberosa,Butterfly Milkweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0294,Astragalus canadensis,Canada Milkvetch,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0059,Awl-fruited sedge,Carex stipata,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0422,Balsamhoriza sagittata,Arrowleaf Balsamroot,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0261,Balsamorhiza deltoidea,Puget Balsamroot,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0295,Balsamorhiza sagittata,Arrowleaf Balsamroot,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0264,Barbarea orthoceras,American Yellow Rocket,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0199,Barbarea verna,Appalachian Wild Creasy Greens,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0061,Beach pea,Lathyrus japonicus,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0062,Beaked sedge,Carex utriculata,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0455,Betula occidentalis,Red Birch,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0262,Bidens cernua,Nodding Bur Marigold,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0180,Blitum bonus-henricus,Good King Henry,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0064,Blue wildrye,Elymus glaucus,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0225,Brodiaea coronaria,Harvest Brodiaea,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0400,Bromus ciliatus,Fringed Brome,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0401,Bromus marginatus,Mountain Brome,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0402,Bromus sitchensis,Alaska Brome,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0403,Calamagrostis canadensis,Bluejoint,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0260,Calandrinia ciliata,Red Maid,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0367,Calendula officinalis,Calendula,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0068,California aster,Symphyotrichum chilense,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0069,California brome,Bromus carinatus,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0070,California oatgrass,Danthonia californica,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0353,Callistephus chinensis,China Aster,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0193,Calochortus albus,White Fairy Lantern,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0177,Calochortus tolmiei,Tolemie’s Star Tulip,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0247,Camassia leichtlinii,Great Camas,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0241,Camassia leichtlinii ssp leichtlinii,Great White Camas,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0004,Camassia quamash,Common Camas,Asparagaceae,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0470,Campanula rotundifolia,Harebell,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0071,Canada goldenrod,Solidago lepida,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0072,Canada mint,Mentha canadensis,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0176,Carex feta,Green Sheath Sedge,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0074,Carex lyngbyei,Lyngbye's Sedge,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0194,Carex macrocephala,Big Head Sedge,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0020,Carex obnupta,Slough Sedge,Cyperaceae,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0280,Carex pachystachya,Chamisso Sedge,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0229,Castilleja exserta,Owl’s Clover,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0324,Castilleja miniata,Red Paintbrush,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0387,Centaurea cyanus,Cornflower,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0022,Chamaenerion angustifolium,fireweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0427,Chamerion angustifolium,Fireweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0075,Chamerion angustifolium ssp angustifolium,Fireweed,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
BCNPPD-0378,Cheiranthus allionii,Siberian Wallflower,,review_queue,not_ready,Native Vancouver PoC species queued for field-level pollinator evidence review.,Pollinator module rows are review scaffolding for the Vancouver PoC. They do not contain reviewed pollinator-support claims and are not PSI scores.,Add accepted source-attributed pollinator fields before calculating PSI.
