Species ID,Botanical Name,Common Name,Family,Native Status,Life Cycle,Sun,Soil Moisture,Urban Toughness,reviewed_field_count,gap_count,score_readiness,Primary References,candidate_views,provider_data,supplier_count,supplier_statuses,mowability_score,provider_review_status,poc_caveat
BCNPPD-0283,Allium validum,Swamp Onion,,Pending review,,,,,0,5,not_ready,SRC-0284,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0190,Alopecurus aequalis,Short Awn Foxtail,,Pending review,,,,,0,5,not_ready,SRC-0173,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0438,Amelanchier alnifolia,Wild Saskatoon Serviceberry Tree,,Pending review,,,,,0,5,not_ready,SRC-0391,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0057,American winter cress,Barbarea orthoceras,,Pending review,,,,,0,5,not_ready,SRC-0039,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0352,Ammi majus,Bishop's Flower,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0304,Amsinckia menziesii,Common Fiddleneck,,Pending review,,,,,0,5,not_ready,SRC-0309,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0272;SRC-0378;SRC-0380;SRC-0379,,yes,4,mix_component;unavailable,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0421,Anaphalis margaritacia,Pearly Everlasting,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0465,Anemone patens,Prairie Crocus,,Pending review,,,,,0,5,not_ready,SRC-0426,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,,Pending review,,,,,0,5,not_ready,SRC-0040,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0393,Aquilegia caerulea,Blue Columbine,,Pending review,,,,,0,5,not_ready,SRC-0372,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,Native in BC,Perennial,Part shade to sun,Mesic,4,4,5,not_ready,SRC-0008;SRC-0004;SRC-0356,Boulevard;Shade,yes,1,available,,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0431,Aralia nudicaulis,Wild Sarsaparilla,,Pending review,,,,,0,5,not_ready,SRC-0383,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,Native in BC,Evergreen subshrub,Full sun to part sun,Dry,5,4,5,not_ready,SRC-0020;SRC-0004,Boulevard;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0347,Armeria maritima,Sea Thrift,,Pending review,,,,,0,5,not_ready,SRC-0366,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0488,Aronia melanocarpa,Black Chokeberry,,Pending review,,,,,0,5,not_ready,SRC-0455,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0434,Artemisia ludoviciana,Prairie Sage,,Pending review,,,,,0,5,not_ready,SRC-0386,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0272,Asclepias cordifolia,Heartleaf Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0270,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0192,Asclepias eriocarpa,Woolly Pod Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0175,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0286,Asclepias fascicularis,Narrowleaf Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0287,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0268,Asclepias incarnata,Swamp Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0266,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0285,Asclepias latifolia,Broadleaf Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0286,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0469,Asclepias ovalifolia,Dwarf Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0434,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0348,Asclepias speciosa,Showy Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0367;SRC-0378;SRC-0380;SRC-0379,,yes,4,available;mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0271,Asclepias syriaca,Common Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0269,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0269,Asclepias tuberosa,Butterfly Milkweed,,Pending review,,,,,0,5,not_ready,SRC-0267,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0294,Astragalus canadensis,Canada Milkvetch,,Pending review,,,,,0,5,not_ready,SRC-0296,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0059,Awl-fruited sedge,Carex stipata,,Pending review,,,,,0,5,not_ready,SRC-0041,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0422,Balsamhoriza sagittata,Arrowleaf Balsamroot,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0261,Balsamorhiza deltoidea,Puget Balsamroot,,Pending review,,,,,0,5,not_ready,SRC-0258,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0295,Balsamorhiza sagittata,Arrowleaf Balsamroot,,Pending review,,,,,0,5,not_ready,SRC-0297;SRC-0378;SRC-0380;SRC-0379,,yes,4,mix_component;unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0264,Barbarea orthoceras,American Yellow Rocket,,Pending review,,,,,0,5,not_ready,SRC-0261,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0199,Barbarea verna,Appalachian Wild Creasy Greens,,Pending review,,,,,0,5,not_ready,SRC-0183,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,,Pending review,,,,,0,5,not_ready,SRC-0042,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0061,Beach pea,Lathyrus japonicus,,Pending review,,,,,0,5,not_ready,SRC-0043,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0062,Beaked sedge,Carex utriculata,,Pending review,,,,,0,5,not_ready,SRC-0044,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0455,Betula occidentalis,Red Birch,,Pending review,,,,,0,5,not_ready,SRC-0414,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,,Pending review,,,,,0,5,not_ready,SRC-0045,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0262,Bidens cernua,Nodding Bur Marigold,,Pending review,,,,,0,5,not_ready,SRC-0259,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0180,Blitum bonus-henricus,Good King Henry,,Pending review,,,,,0,5,not_ready,SRC-0163,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0064,Blue wildrye,Elymus glaucus,,Pending review,,,,,0,5,not_ready,SRC-0046,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,,Pending review,,,,,0,5,not_ready,SRC-0047,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,,Pending review,,,,,0,5,not_ready,SRC-0048,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,,Pending review,,,,,0,5,not_ready,SRC-0049,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0225,Brodiaea coronaria,Harvest Brodiaea,,Pending review,,,,,0,5,not_ready,SRC-0215;SRC-0216,,yes,2,available;unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0400,Bromus ciliatus,Fringed Brome,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0401,Bromus marginatus,Mountain Brome,,Pending review,,,,,0,5,not_ready,SRC-0378;SRC-0379,,yes,3,mix_component;unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0402,Bromus sitchensis,Alaska Brome,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0403,Calamagrostis canadensis,Bluejoint,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0260,Calandrinia ciliata,Red Maid,,Pending review,,,,,0,5,not_ready,SRC-0257,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0367,Calendula officinalis,Calendula,,Pending review,,,,,0,5,not_ready,SRC-0373,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0068,California aster,Symphyotrichum chilense,,Pending review,,,,,0,5,not_ready,SRC-0050,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0069,California brome,Bromus carinatus,,Pending review,,,,,0,5,not_ready,SRC-0051,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0070,California oatgrass,Danthonia californica,,Pending review,,,,,0,5,not_ready,SRC-0052,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0353,Callistephus chinensis,China Aster,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0193,Calochortus albus,White Fairy Lantern,,Pending review,,,,,0,5,not_ready,SRC-0176,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0177,Calochortus tolmiei,Tolemie’s Star Tulip,,Pending review,,,,,0,5,not_ready,SRC-0160,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0247,Camassia leichtlinii,Great Camas,,Pending review,,,,,0,5,not_ready,SRC-0241;SRC-0242,,yes,2,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0241,Camassia leichtlinii ssp leichtlinii,Great White Camas,,Pending review,,,,,0,5,not_ready,SRC-0235,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0004,Camassia quamash,Common Camas,Asparagaceae,Native in SW BC,Perennial geophyte,Full sun,Winter wet / summer dry to mesic,4,4,5,not_ready,SRC-0006;SRC-0007;SRC-0243;SRC-0244,Boulevard;Rain Garden;Dry Sun,yes,2,available,,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0470,Campanula rotundifolia,Harebell,,Pending review,,,,,0,5,not_ready,SRC-0435,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0071,Canada goldenrod,Solidago lepida,,Pending review,,,,,0,5,not_ready,SRC-0053,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0072,Canada mint,Mentha canadensis,,Pending review,,,,,0,5,not_ready,SRC-0054,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0176,Carex feta,Green Sheath Sedge,,Pending review,,,,,0,5,not_ready,SRC-0159,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,,Pending review,,,,,0,5,not_ready,SRC-0055,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0074,Carex lyngbyei,Lyngbye's Sedge,,Pending review,,,,,0,5,not_ready,SRC-0056,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0194,Carex macrocephala,Big Head Sedge,,Pending review,,,,,0,5,not_ready,SRC-0177,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0020,Carex obnupta,Slough Sedge,Cyperaceae,Native in coastal BC,Perennial graminoid,Sun to shade,Moist to wet,3,4,5,not_ready,SRC-0023;SRC-0004;SRC-0301,Rain Garden;Shade,yes,1,available,,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0280,Carex pachystachya,Chamisso Sedge,,Pending review,,,,,0,5,not_ready,SRC-0280,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0229,Castilleja exserta,Owl’s Clover,,Pending review,,,,,0,5,not_ready,SRC-0220,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0324,Castilleja miniata,Red Paintbrush,,Pending review,,,,,0,5,not_ready,SRC-0335,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0387,Centaurea cyanus,Cornflower,,Pending review,,,,,0,5,not_ready,SRC-0371,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0022,Chamaenerion angustifolium,fireweed,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0026;SRC-0343,,yes,1,unavailable,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0427,Chamerion angustifolium,Fireweed,,Pending review,,,,,0,5,not_ready,SRC-0378;SRC-0380;SRC-0379,,yes,3,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0075,Chamerion angustifolium ssp angustifolium,Fireweed,,Pending review,,,,,0,5,not_ready,SRC-0057,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0378,Cheiranthus allionii,Siberian Wallflower,,Pending review,,,,,0,5,not_ready,SRC-0373,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0355,Cheiranthus cheiri,English Wallflower,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0076,Chocolate lily,Fritillaria affinis,,Pending review,,,,,0,5,not_ready,SRC-0058,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0360,Chrysanthemum carinatum,Painted Daisy,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0364,Chrysanthemum maximum,Shasta Daisy,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0219,Cirsium altissimum,Tall Thistle,,Pending review,,,,,0,5,not_ready,SRC-0209,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0201,Cirsium occidentale,Cobweb Thistle,,Pending review,,,,,0,5,not_ready,SRC-0185,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0077,Clarkia amoena,Farewell-to-Spring,,Pending review,,,,,0,5,not_ready,SRC-0059;SRC-0350;SRC-0378;SRC-0380;SRC-0379,,yes,5,available;mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0231,Clarkia pulchella,Elkhorn Clarkia,,Pending review,,,,,0,5,not_ready,SRC-0223,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0326,Clarkia purpurea,Winecup Clarkia,,Pending review,,,,,0,5,not_ready,SRC-0338,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0281,Clarkia rhomboidea,Diamond Clarkia,,Pending review,,,,,0,5,not_ready,SRC-0281,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0178,Clarkia unguiculata,Elegant Clarkia,,Pending review,,,,,0,5,not_ready,SRC-0161;SRC-0370,,yes,2,available;mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0078,Claytonia perfoliata,Miner's Lettuce,,Pending review,,,,,0,5,not_ready,SRC-0060;SRC-0234,,yes,2,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0023,Claytonia sibirica,Siberian miner's-lettuce,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0027;SRC-0061,,yes,1,available,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0016,Clinopodium douglasii,Yerba Buena,Lamiaceae,Native in coastal BC,Perennial,Part shade to shade,Mesic,4,4,5,not_ready,SRC-0019;SRC-0004,Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0079,Clustered tarweed,Madia glomerata,,Pending review,,,,,0,5,not_ready,SRC-0062,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0080,Coastal mugwort,Artemisia suksdorfii,,Pending review,,,,,0,5,not_ready,SRC-0063,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0024,Collinsia grandiflora,large-flowered blue-eyed Mary,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0028;SRC-0326,,yes,1,available,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,Plantaginaceae,Native in BC,Annual,Sun to part shade,Mesic spring; summer dry,4,4,5,not_ready,SRC-0018;SRC-0004,Boulevard;Dry Sun;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0341,Collomia grandiflora,Large Flowered Collomia,,Pending review,,,,,0,5,not_ready,SRC-0360,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0081,Columbia brome,Bromus vulgaris,,Pending review,,,,,0,5,not_ready,SRC-0064,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0082,Common camas,Camassia quamash ssp. maxima,,Pending review,,,,,0,5,not_ready,SRC-0007,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0358,Coreopsis lanceolata,Lance-Leaved Coreopsis,,Pending review,,,,,0,5,not_ready,SRC-0370;SRC-0372,,yes,2,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0282,Coreopsis tinctoria,Plains Coreopsis,,Pending review,,,,,0,5,not_ready,SRC-0282;SRC-0370;SRC-0371,,yes,3,available;mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0461,Cornus alternifolia,Pagoda Dogwood Native Tree Zone 3 20+,,Pending review,,,,,0,5,not_ready,SRC-0420,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0025,Cornus sericea,Red Osier Dogwood,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0408,,yes,1,available,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0473,Corylus americana,Wild American Hazelnut,,Pending review,,,,,0,5,not_ready,SRC-0440,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0354,Cosmos bipinnatus,Cosmos,,Pending review,,,,,0,5,not_ready,SRC-0370,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
