use_case,species_id,botanical_name,common_name,candidate_status,candidate_reason,evidence_caveat,gap_count,score_readiness
pollinator_support,BCNPPD-0377,Agastache rugosa,Purple Giant Hyssop,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0330,Agastache urticifolia,Nettleleaf Horsemint,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0207,Agoseris grandiflora,Grand Agoseris,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0297,Agrostis exarata,Spike Bentgrass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0259,Agrostis pallens,Seashore Bentgrass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0399,Agrostis scabra,Hair Bentgrass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0056,Alaska oniongrass,Melica subulata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0236,Alisma triviale,Water Plantain,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0230,Allium amplectens,Slimleaf Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0011,Allium cernuum,Nodding Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0173,Allium schoenoprasum,Skagit Bay Chives,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0283,Allium validum,Swamp Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0190,Alopecurus aequalis,Short Awn Foxtail,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0438,Amelanchier alnifolia,Wild Saskatoon Serviceberry Tree,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0057,American winter cress,Barbarea orthoceras,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0352,Ammi majus,Bishop's Flower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0304,Amsinckia menziesii,Common Fiddleneck,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0421,Anaphalis margaritacia,Pearly Everlasting,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0465,Anemone patens,Prairie Crocus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0393,Aquilegia caerulea,Blue Columbine,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0005,Aquilegia formosa,Red Columbine,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0431,Aralia nudicaulis,Wild Sarsaparilla,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0347,Armeria maritima,Sea Thrift,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0488,Aronia melanocarpa,Black Chokeberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0434,Artemisia ludoviciana,Prairie Sage,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0272,Asclepias cordifolia,Heartleaf Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0192,Asclepias eriocarpa,Woolly Pod Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0286,Asclepias fascicularis,Narrowleaf Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0268,Asclepias incarnata,Swamp Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0285,Asclepias latifolia,Broadleaf Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0469,Asclepias ovalifolia,Dwarf Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0348,Asclepias speciosa,Showy Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0271,Asclepias syriaca,Common Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0269,Asclepias tuberosa,Butterfly Milkweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0294,Astragalus canadensis,Canada Milkvetch,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0059,Awl-fruited sedge,Carex stipata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0422,Balsamhoriza sagittata,Arrowleaf Balsamroot,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0261,Balsamorhiza deltoidea,Puget Balsamroot,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0295,Balsamorhiza sagittata,Arrowleaf Balsamroot,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0264,Barbarea orthoceras,American Yellow Rocket,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0199,Barbarea verna,Appalachian Wild Creasy Greens,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0061,Beach pea,Lathyrus japonicus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0062,Beaked sedge,Carex utriculata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0455,Betula occidentalis,Red Birch,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0262,Bidens cernua,Nodding Bur Marigold,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0180,Blitum bonus-henricus,Good King Henry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0064,Blue wildrye,Elymus glaucus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0225,Brodiaea coronaria,Harvest Brodiaea,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0400,Bromus ciliatus,Fringed Brome,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0401,Bromus marginatus,Mountain Brome,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0402,Bromus sitchensis,Alaska Brome,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0403,Calamagrostis canadensis,Bluejoint,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0260,Calandrinia ciliata,Red Maid,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0367,Calendula officinalis,Calendula,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0068,California aster,Symphyotrichum chilense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0069,California brome,Bromus carinatus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0070,California oatgrass,Danthonia californica,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0353,Callistephus chinensis,China Aster,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0193,Calochortus albus,White Fairy Lantern,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0177,Calochortus tolmiei,Tolemie’s Star Tulip,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0247,Camassia leichtlinii,Great Camas,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0241,Camassia leichtlinii ssp leichtlinii,Great White Camas,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0004,Camassia quamash,Common Camas,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0004,Camassia quamash,Common Camas,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0004,Camassia quamash,Common Camas,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0004,Camassia quamash,Common Camas,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0470,Campanula rotundifolia,Harebell,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0071,Canada goldenrod,Solidago lepida,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0072,Canada mint,Mentha canadensis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0176,Carex feta,Green Sheath Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0074,Carex lyngbyei,Lyngbye's Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0194,Carex macrocephala,Big Head Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0020,Carex obnupta,Slough Sedge,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0020,Carex obnupta,Slough Sedge,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0020,Carex obnupta,Slough Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0280,Carex pachystachya,Chamisso Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0229,Castilleja exserta,Owl’s Clover,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0324,Castilleja miniata,Red Paintbrush,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0387,Centaurea cyanus,Cornflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0022,Chamaenerion angustifolium,fireweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0427,Chamerion angustifolium,Fireweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0075,Chamerion angustifolium ssp angustifolium,Fireweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0378,Cheiranthus allionii,Siberian Wallflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0355,Cheiranthus cheiri,English Wallflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0076,Chocolate lily,Fritillaria affinis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0360,Chrysanthemum carinatum,Painted Daisy,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0364,Chrysanthemum maximum,Shasta Daisy,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0219,Cirsium altissimum,Tall Thistle,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0201,Cirsium occidentale,Cobweb Thistle,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0077,Clarkia amoena,Farewell-to-Spring,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0231,Clarkia pulchella,Elkhorn Clarkia,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0326,Clarkia purpurea,Winecup Clarkia,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0281,Clarkia rhomboidea,Diamond Clarkia,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0178,Clarkia unguiculata,Elegant Clarkia,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0078,Claytonia perfoliata,Miner's Lettuce,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0023,Claytonia sibirica,Siberian miner's-lettuce,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0016,Clinopodium douglasii,Yerba Buena,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
