Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat
BCNPPD-0393,CDF-0393,Aquilegia caerulea,Blue Columbine,,Pending review,,,,,,Pending review,SRC-0372,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0005,CDF-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,Native in BC,,Perennial,Part shade to sun,Mesic,4,C,SRC-0008;SRC-0004;SRC-0356,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0431,CDF-0431,Aralia nudicaulis,Wild Sarsaparilla,,Pending review,,,,,,Pending review,SRC-0383,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0017,CDF-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,Native in BC,,Evergreen subshrub,Full sun to part sun,Dry,5,B,SRC-0020;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0347,CDF-0347,Armeria maritima,Sea Thrift,,Pending review,,,,,,Pending review,SRC-0366,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0488,CDF-0488,Aronia melanocarpa,Black Chokeberry,,Pending review,,,,,,Pending review,SRC-0455,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0434,CDF-0434,Artemisia ludoviciana,Prairie Sage,,Pending review,,,,,,Pending review,SRC-0386,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0272,CDF-0272,Asclepias cordifolia,Heartleaf Milkweed,,Pending review,,,,,,Pending review,SRC-0270,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0192,CDF-0192,Asclepias eriocarpa,Woolly Pod Milkweed,,Pending review,,,,,,Pending review,SRC-0175,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0286,CDF-0286,Asclepias fascicularis,Narrowleaf Milkweed,,Pending review,,,,,,Pending review,SRC-0287,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0268,CDF-0268,Asclepias incarnata,Swamp Milkweed,,Pending review,,,,,,Pending review,SRC-0266,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0285,CDF-0285,Asclepias latifolia,Broadleaf Milkweed,,Pending review,,,,,,Pending review,SRC-0286,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0469,CDF-0469,Asclepias ovalifolia,Dwarf Milkweed,,Pending review,,,,,,Pending review,SRC-0434,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0348,CDF-0348,Asclepias speciosa,Showy Milkweed,,Pending review,,,,,,Pending review,SRC-0367;SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0271,CDF-0271,Asclepias syriaca,Common Milkweed,,Pending review,,,,,,Pending review,SRC-0269,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0269,CDF-0269,Asclepias tuberosa,Butterfly Milkweed,,Pending review,,,,,,Pending review,SRC-0267,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0294,CDF-0294,Astragalus canadensis,Canada Milkvetch,,Pending review,,,,,,Pending review,SRC-0296,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0059,CDF-0059,Awl-fruited sedge,Carex stipata,,Pending review,,,,,,Pending review,SRC-0041,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0422,CDF-0422,Balsamhoriza sagittata,Arrowleaf Balsamroot,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0261,CDF-0261,Balsamorhiza deltoidea,Puget Balsamroot,,Pending review,,,,,,Pending review,SRC-0258,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0295,CDF-0295,Balsamorhiza sagittata,Arrowleaf Balsamroot,,Pending review,,,,,,Pending review,SRC-0297;SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0264,CDF-0264,Barbarea orthoceras,American Yellow Rocket,,Pending review,,,,,,Pending review,SRC-0261,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0199,CDF-0199,Barbarea verna,Appalachian Wild Creasy Greens,,Pending review,,,,,,Pending review,SRC-0183,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0060,CDF-0060,Barestem desert-parsley,Lomatium nudicaule,,Pending review,,,,,,Pending review,SRC-0042,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0061,CDF-0061,Beach pea,Lathyrus japonicus,,Pending review,,,,,,Pending review,SRC-0043,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0062,CDF-0062,Beaked sedge,Carex utriculata,,Pending review,,,,,,Pending review,SRC-0044,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0455,CDF-0455,Betula occidentalis,Red Birch,,Pending review,,,,,,Pending review,SRC-0414,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0063,CDF-0063,Bicoloured lupine,Lupinus bicolor,,Pending review,,,,,,Pending review,SRC-0045,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0262,CDF-0262,Bidens cernua,Nodding Bur Marigold,,Pending review,,,,,,Pending review,SRC-0259,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0180,CDF-0180,Blitum bonus-henricus,Good King Henry,,Pending review,,,,,,Pending review,SRC-0163,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0064,CDF-0064,Blue wildrye,Elymus glaucus,,Pending review,,,,,,Pending review,SRC-0046,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0065,CDF-0065,Blue-eyed grass,Sisyrinchium idahoense,,Pending review,,,,,,Pending review,SRC-0047,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0066,CDF-0066,Broad-leaved shootingstar,Primula hendersonii,,Pending review,,,,,,Pending review,SRC-0048,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0067,CDF-0067,Broad-leaved stonecrop,Sedum spathulifolium,,Pending review,,,,,,Pending review,SRC-0049,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0225,CDF-0225,Brodiaea coronaria,Harvest Brodiaea,,Pending review,,,,,,Pending review,SRC-0215;SRC-0216,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0400,CDF-0400,Bromus ciliatus,Fringed Brome,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0401,CDF-0401,Bromus marginatus,Mountain Brome,,Pending review,,,,,,Pending review,SRC-0378;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0402,CDF-0402,Bromus sitchensis,Alaska Brome,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0403,CDF-0403,Calamagrostis canadensis,Bluejoint,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0260,CDF-0260,Calandrinia ciliata,Red Maid,,Pending review,,,,,,Pending review,SRC-0257,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0367,CDF-0367,Calendula officinalis,Calendula,,Pending review,,,,,,Pending review,SRC-0373,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0068,CDF-0068,California aster,Symphyotrichum chilense,,Pending review,,,,,,Pending review,SRC-0050,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0069,CDF-0069,California brome,Bromus carinatus,,Pending review,,,,,,Pending review,SRC-0051,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0070,CDF-0070,California oatgrass,Danthonia californica,,Pending review,,,,,,Pending review,SRC-0052,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0353,CDF-0353,Callistephus chinensis,China Aster,,Pending review,,,,,,Pending review,SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0193,CDF-0193,Calochortus albus,White Fairy Lantern,,Pending review,,,,,,Pending review,SRC-0176,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0177,CDF-0177,Calochortus tolmiei,Tolemie’s Star Tulip,,Pending review,,,,,,Pending review,SRC-0160,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0247,CDF-0247,Camassia leichtlinii,Great Camas,,Pending review,,,,,,Pending review,SRC-0241;SRC-0242,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0241,CDF-0241,Camassia leichtlinii ssp leichtlinii,Great White Camas,,Pending review,,,,,,Pending review,SRC-0235,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0004,CDF-0004,Camassia quamash,Common Camas,Asparagaceae,Native in SW BC,,Perennial geophyte,Full sun,Winter wet / summer dry to mesic,4,B,SRC-0006;SRC-0007;SRC-0243;SRC-0244,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0470,CDF-0470,Campanula rotundifolia,Harebell,,Pending review,,,,,,Pending review,SRC-0435,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0071,CDF-0071,Canada goldenrod,Solidago lepida,,Pending review,,,,,,Pending review,SRC-0053,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0072,CDF-0072,Canada mint,Mentha canadensis,,Pending review,,,,,,Pending review,SRC-0054,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0176,CDF-0176,Carex feta,Green Sheath Sedge,,Pending review,,,,,,Pending review,SRC-0159,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0073,CDF-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,,Pending review,,,,,,Pending review,SRC-0055,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0074,CDF-0074,Carex lyngbyei,Lyngbye's Sedge,,Pending review,,,,,,Pending review,SRC-0056,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0194,CDF-0194,Carex macrocephala,Big Head Sedge,,Pending review,,,,,,Pending review,SRC-0177,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0020,CDF-0020,Carex obnupta,Slough Sedge,Cyperaceae,Native in coastal BC,,Perennial graminoid,Sun to shade,Moist to wet,3,C,SRC-0023;SRC-0004;SRC-0301,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0280,CDF-0280,Carex pachystachya,Chamisso Sedge,,Pending review,,,,,,Pending review,SRC-0280,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0229,CDF-0229,Castilleja exserta,Owl’s Clover,,Pending review,,,,,,Pending review,SRC-0220,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0324,CDF-0324,Castilleja miniata,Red Paintbrush,,Pending review,,,,,,Pending review,SRC-0335,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0387,CDF-0387,Centaurea cyanus,Cornflower,,Pending review,,,,,,Pending review,SRC-0371,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0022,CDF-0022,Chamaenerion angustifolium,fireweed,,Pending review,,,,,,Pending review,SRC-0025;SRC-0026;SRC-0343,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0427,CDF-0427,Chamerion angustifolium,Fireweed,,Pending review,,,,,,Pending review,SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0075,CDF-0075,Chamerion angustifolium ssp angustifolium,Fireweed,,Pending review,,,,,,Pending review,SRC-0057,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0378,CDF-0378,Cheiranthus allionii,Siberian Wallflower,,Pending review,,,,,,Pending review,SRC-0373,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0355,CDF-0355,Cheiranthus cheiri,English Wallflower,,Pending review,,,,,,Pending review,SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0076,CDF-0076,Chocolate lily,Fritillaria affinis,,Pending review,,,,,,Pending review,SRC-0058,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0360,CDF-0360,Chrysanthemum carinatum,Painted Daisy,,Pending review,,,,,,Pending review,SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0364,CDF-0364,Chrysanthemum maximum,Shasta Daisy,,Pending review,,,,,,Pending review,SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0219,CDF-0219,Cirsium altissimum,Tall Thistle,,Pending review,,,,,,Pending review,SRC-0209,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0201,CDF-0201,Cirsium occidentale,Cobweb Thistle,,Pending review,,,,,,Pending review,SRC-0185,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0077,CDF-0077,Clarkia amoena,Farewell-to-Spring,,Pending review,,,,,,Pending review,SRC-0059;SRC-0350;SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0231,CDF-0231,Clarkia pulchella,Elkhorn Clarkia,,Pending review,,,,,,Pending review,SRC-0223,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0326,CDF-0326,Clarkia purpurea,Winecup Clarkia,,Pending review,,,,,,Pending review,SRC-0338,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0281,CDF-0281,Clarkia rhomboidea,Diamond Clarkia,,Pending review,,,,,,Pending review,SRC-0281,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0178,CDF-0178,Clarkia unguiculata,Elegant Clarkia,,Pending review,,,,,,Pending review,SRC-0161;SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0078,CDF-0078,Claytonia perfoliata,Miner's Lettuce,,Pending review,,,,,,Pending review,SRC-0060;SRC-0234,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0023,CDF-0023,Claytonia sibirica,Siberian miner's-lettuce,,Pending review,,,,,,Pending review,SRC-0025;SRC-0027;SRC-0061,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0016,CDF-0016,Clinopodium douglasii,Yerba Buena,Lamiaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic,4,D,SRC-0019;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0079,CDF-0079,Clustered tarweed,Madia glomerata,,Pending review,,,,,,Pending review,SRC-0062,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0080,CDF-0080,Coastal mugwort,Artemisia suksdorfii,,Pending review,,,,,,Pending review,SRC-0063,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0024,CDF-0024,Collinsia grandiflora,large-flowered blue-eyed Mary,,Pending review,,,,,,Pending review,SRC-0025;SRC-0028;SRC-0326,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0015,CDF-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,Plantaginaceae,Native in BC,,Annual,Sun to part shade,Mesic spring; summer dry,4,C,SRC-0018;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0341,CDF-0341,Collomia grandiflora,Large Flowered Collomia,,Pending review,,,,,,Pending review,SRC-0360,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0081,CDF-0081,Columbia brome,Bromus vulgaris,,Pending review,,,,,,Pending review,SRC-0064,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0082,CDF-0082,Common camas,Camassia quamash ssp. maxima,,Pending review,,,,,,Pending review,SRC-0007,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0358,CDF-0358,Coreopsis lanceolata,Lance-Leaved Coreopsis,,Pending review,,,,,,Pending review,SRC-0370;SRC-0372,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
